Sr. No,Symbol,Company Name," Market capitalization as on December 31, 2023
(In Lakhs) "
1,RELIANCE,Reliance Industries Limited,"17,48,89,555"
2,TCS,Tata Consultancy Services Limited,"13,72,48,532"
3,HDFCBANK,HDFC Bank Limited,"12,97,40,454"
4,ICICIBANK,ICICI Bank Limited,"6,99,02,441"
5,INFY,Infosys Limited,"6,40,37,071"
6,HINDUNILVR,Hindustan Unilever Limited,"6,25,91,936"
7,BHARTIARTL,Bharti Airtel Limited,"5,80,28,012"
8,ITC,ITC Limited,"5,76,49,788"
9,SBIN,State Bank of India,"5,73,00,471"
10,LICI,Life Insurance Corporation Of India,"5,26,55,606"
11,LT,Larsen & Toubro Limited,"4,84,66,574"
12,BAJFINANCE,Bajaj Finance Limited,"4,52,87,186"
13,HCLTECH,HCL Technologies Limited,"3,97,85,044"
14,KOTAKBANK,Kotak Mahindra Bank Limited,"3,79,24,093"
15,AXISBANK,Axis Bank Limited,"3,39,91,569"
16,ASIANPAINT,Asian Paints Limited,"3,26,35,746"
17,TITAN,Titan Company Limited,"3,26,30,136"
18,ADANIENT,Adani Enterprises Limited,"3,24,78,062"
19,MARUTI,Maruti Suzuki India Limited,"3,23,90,854"
20,ULTRACEMCO,UltraTech Cement Limited,"3,03,20,906"
21,SUNPHARMA,Sun Pharmaceutical Industries Limited,"3,02,18,424"
22,NTPC,NTPC Limited,"3,01,71,177"
23,BAJAJFINSV,Bajaj Finserv Limited,"2,68,96,750"
24,DMART,Avenue Supermarts Limited,"2,65,67,154"
25,TATAMOTORS,Tata Motors Limited,"2,59,16,546"
26,ONGC,Oil & Natural Gas Corporation Limited,"2,57,95,863"
27,NESTLEIND,Nestle India Limited,"2,56,27,587"
28,ADANIGREEN,Adani Green Energy Limited,"2,52,96,999"
29,WIPRO,Wipro Limited,"2,46,21,823"
30,COALINDIA,Coal India Limited,"2,31,71,859"
31,ADANIPORTS,Adani Ports and Special Economic Zone Limited,"2,21,27,383"
32,POWERGRID,Power Grid Corporation of India Limited,"2,20,61,032"
33,JSWSTEEL,JSW Steel Limited,"2,15,26,109"
34,M&M,Mahindra & Mahindra Limited,"2,15,05,588"
35,ADANIPOWER,Adani Power Limited,"2,02,54,715"
36,BAJAJ-AUTO,Bajaj Auto Limited,"1,92,33,319"
37,HAL,Hindustan Aeronautics Limited,"1,87,52,451"
38,LTIM,LTIMindtree Limited,"1,86,27,749"
39,IOC,Indian Oil Corporation Limited,"1,83,36,428"
40,DLF,DLF Limited,"1,79,80,688"
41,TATASTEEL,Tata Steel Limited,"1,71,67,077"
42,VBL,Varun Beverages Limited,"1,60,69,990"
43,JIOFIN,Jio Financial Services Limited,"1,47,99,976"
44,SBILIFE,SBI Life Insurance Company Limited,"1,43,43,767"
45,SIEMENS,Siemens Limited,"1,43,32,772"
46,GRASIM,Grasim Industries Limited,"1,40,56,565"
47,HDFCLIFE,HDFC Life Insurance Company Limited,"1,39,08,316"
48,HINDALCO,Hindalco Industries Limited,"1,38,17,011"
49,PIDILITIND,Pidilite Industries Limited,"1,38,09,216"
50,BEL,Bharat Electronics Limited,"1,34,64,613"
51,HINDZINC,Hindustan Zinc Limited,"1,34,38,627"
52,IRFC,Indian Railway Finance Corporation Limited,"1,29,83,561"
53,BRITANNIA,Britannia Industries Limited,"1,28,58,634"
54,PFC,Power Finance Corporation Limited,"1,26,26,189"
55,INDUSINDBK,IndusInd Bank Limited,"1,24,35,549"
56,TECHM,Tech Mahindra Limited,"1,24,21,248"
57,BANKBARODA,Bank of Baroda,"1,19,51,018"
58,ADANIENSOL,Adani Energy Solutions Limited,"1,16,65,265"
59,GODREJCP,Godrej Consumer Products Limited,"1,15,70,144"
60,INDIGO,InterGlobe Aviation Limited,"1,14,51,378"
61,EICHERMOT,Eicher Motors Limited,"1,13,43,888"
62,RECLTD,REC Limited,"1,08,71,265"
63,ATGL,Adani Total Gas Limited,"1,08,65,574"
64,TRENT,Trent Limited,"1,08,59,964"
65,ZOMATO,Zomato Limited,"1,07,75,403"
66,GAIL,GAIL (India) Limited,"1,06,58,237"
