_id,timestamp,stock_symbol,Price_of_stock,Price_of_stock_,Relative_Valuation_Price,Relative_valuation,DCF_Valuation_Price,DCF_Valuation
65b12bbb16af43d97f313020,2024-01-24 15:24:43.868,RELIANCE,2694.9,2694.9,3311.17 INR,Undervaluation 19%,1871.99 INR,Overvaluation 31%
65b12bc016af43d97f313021,2024-01-24 15:24:48.230,TCS,3840.55,3840.55,4288.2 INR,Undervaluation 10%,1711.9 INR,Overvaluation 55%
65b12bc316af43d97f313022,2024-01-24 15:24:51.017,HDFCBANK,1456.5,1456.5,1905.37 INR,Undervaluation 24%,1398.9 INR,Overvaluation 4%
65b12bc516af43d97f313023,2024-01-24 15:24:53.750,ICICIBANK,999.2,999.2,1019.34 INR,Undervaluation 2%,1078.94 INR,Undervaluation 7%
65b12bc816af43d97f313024,2024-01-24 15:24:56.730,INFY,1673,1673,1882.47 INR,Undervaluation 11%,831.9 INR,Overvaluation 50%
65b12bcb16af43d97f313025,2024-01-24 15:24:59.695,HINDUNILVR,2439.55,2439.55,1711.45 INR,Overvaluation 30%,642.13 INR,Overvaluation 74%
65b12bce16af43d97f313026,2024-01-24 15:25:02.687,BHARTIARTL,1191.8,1191.8,1524.34 INR,Undervaluation 22%,948.99 INR,Overvaluation 20%
65b12bd116af43d97f313027,2024-01-24 15:25:05.536,ITC,463.6,463.6,298.5 INR,Overvaluation 36%,258.04 INR,Overvaluation 44%
65b12bd416af43d97f313028,2024-01-24 15:25:08.299,SBIN,618.3,618.3,1035.86 INR,Undervaluation 40%,2210.8 INR,Undervaluation 72%
65b12bd716af43d97f313029,2024-01-24 15:25:11.038,LICI,901.95,901.95,1121.73 INR,Undervaluation 20%,787.26 INR,Overvaluation 13%
65b12bda16af43d97f31302a,2024-01-24 15:25:14.070,LT,3584.8999,3584.8999,3649.8569 INR,Undervaluation 2%,1991.9147 INR,Overvaluation 44%
65b12bdc16af43d97f31302b,2024-01-24 15:25:16.910,BAJFINANCE,7060,7060,11469.95 INR,Undervaluation 38%,4858.3 INR,Overvaluation 31%
65b12bdf16af43d97f31302c,2024-01-24 15:25:19.817,HCLTECH,1576.4,1576.4,1509.64 INR,Overvaluation 4%,819.02 INR,Overvaluation 48%
65b12be216af43d97f31302d,2024-01-24 15:25:22.611,KOTAKBANK,1787.1,1787.1,2428.6 INR,Undervaluation 26%,4205.16 INR,Undervaluation 58%
65b12be516af43d97f31302e,2024-01-24 15:25:25.350,AXISBANK,1060.5,1060.5,1558.08 INR,Undervaluation 32%,1230.93 INR,Undervaluation 14%
