_id,timestamp,stock_symbol,Price_of_stock,Price_of_stock_,Relative_Valuation_Price,Relative_valuation,DCF_Valuation_Price,DCF_Valuation
65b9fa67870537e7b5461474,2024-01-31 07:44:39.914,RELIANCE,2838.1001,2838.1001,3359.0175 INR,Undervaluation 16%,1861.9355 INR,Overvaluation 34%
65b9fa6c870537e7b5461475,2024-01-31 07:44:44.397,TCS,3807.55,3807.55,4248.27 INR,Undervaluation 10%,1737.71 INR,Overvaluation 54%
65b9fa6f870537e7b5461476,2024-01-31 07:44:47.937,HDFCBANK,1466.75,1466.75,1843.39 INR,Undervaluation 20%,1342.93 INR,Overvaluation 8%
65b9fa73870537e7b5461477,2024-01-31 07:44:51.672,ICICIBANK,1028,1028,923.15 INR,Overvaluation 10%,793.05 INR,Overvaluation 23%
65b9fa77870537e7b5461478,2024-01-31 07:44:55.649,INFY,1659.75,1659.75,1887.41 INR,Undervaluation 12%,848.37 INR,Overvaluation 49%
65b9fa7b870537e7b5461479,2024-01-31 07:44:59.777,HINDUNILVR,2457.05,2457.05,1681.29 INR,Overvaluation 32%,617.65 INR,Overvaluation 75%
65b9fa7f870537e7b546147a,2024-01-31 07:45:03.587,BHARTIARTL,1167.05,1167.05,1555.59 INR,Undervaluation 25%,972.13 INR,Overvaluation 17%
65b9fa83870537e7b546147b,2024-01-31 07:45:07.532,ITC,440.9,440.9,290.41 INR,Overvaluation 34%,238.13 INR,Overvaluation 46%
65b9fa87870537e7b546147c,2024-01-31 07:45:11.872,SBIN,631.7,631.7,733.58 INR,Undervaluation 14%,812.26 INR,Undervaluation 22%
65b9fa8b870537e7b546147d,2024-01-31 07:45:15.484,LICI,955,955,1113.5 INR,Undervaluation 14%,788.3 INR,Overvaluation 17%
65b9fa8f870537e7b546147e,2024-01-31 07:45:19.494,LT,3483.8999,3483.8999,3653.0466 INR,Undervaluation 5%,1911.6899 INR,Overvaluation 45%
65b9fa93870537e7b546147f,2024-01-31 07:45:23.649,BAJFINANCE,6901.3501,6901.3501,11580.0046 INR,Undervaluation 40%,4761.6701 INR,Overvaluation 31%
65b9fa98870537e7b5461480,2024-01-31 07:45:28.451,HCLTECH,1574.8,1574.8,1533.34 INR,Overvaluation 3%,851.65 INR,Overvaluation 46%
65b9fa9c870537e7b5461481,2024-01-31 07:45:32.999,KOTAKBANK,1823.75,1823.75,2055.81 INR,Undervaluation 11%,1249.5 INR,Overvaluation 31%
65b9faa0870537e7b5461482,2024-01-31 07:45:36.867,AXISBANK,1075.7,1075.7,1554.28 INR,Undervaluation 31%,1225.58 INR,Undervaluation 12%
65b9faa4870537e7b5461483,2024-01-31 07:45:40.862,ASIANPAINT,2950.05,2950.05,1873.68 INR,Overvaluation 36%,643.05 INR,Overvaluation 78%
65b9faa8870537e7b5461484,2024-01-31 07:45:44.797,TITAN,3676.1001,3676.1001,1121.5694 INR,Overvaluation 69%,809.0475 INR,Overvaluation 78%
65b9faad870537e7b5461485,2024-01-31 07:45:49.065,ADANIENT,3074.95,3074.95,2863.92 INR,Overvaluation 7%,436.43 INR,Overvaluation 86%
65b9fab1870537e7b5461486,2024-01-31 07:45:53.033,MARUTI,10118.0996,10118.0996,14837.9592 INR,Undervaluation 32%,5359.1526 INR,Overvaluation 47%
65b9fab5870537e7b5461487,2024-01-31 07:45:57.168,ULTRACEMCO,10095.0498,10095.0498,9581.3564 INR,Overvaluation 5%,5028.7363 INR,Overvaluation 50%
65b9fab9870537e7b5461488,2024-01-31 07:46:01.040,SUNPHARMA,1425.25,1425.25,1178.82 INR,Overvaluation 17%,562.18 INR,Overvaluation 61%
65b9fabd870537e7b5461489,2024-01-31 07:46:05.481,NTPC,312.95,312.95,514.03 INR,Undervaluation 39%,114.55 INR,Overvaluation 63%
65b9fac1870537e7b546148a,2024-01-31 07:46:09.624,BAJAJFINSV,1617.85,1617.85,2824.32 INR,Undervaluation 43%,1097 INR,Overvaluation 32%
65b9fac5870537e7b546148b,2024-01-31 07:46:13.998,DMART,3710.1499,3710.1499,1411.1412 INR,Overvaluation 62%,833.255 INR,Overvaluation 78%
65b9faca870537e7b546148c,2024-01-31 07:46:18.450,TATAMOTORS,875.25,875.25,1474.06 INR,Undervaluation 41%,146.43 INR,Overvaluation 83%
65b9face870537e7b546148d,2024-01-31 07:46:22.817,ONGC,249.05,249.05,381.74 INR,Undervaluation 35%,345.53 INR,Undervaluation 28%
65b9fad3870537e7b546148e,2024-01-31 07:46:27.027,NESTLEIND,2485.8999,2485.8999,313.0407 INR,Overvaluation 87%,466.9588 INR,Overvaluation 81%
65b9fad7870537e7b546148f,2024-01-31 07:46:31.237,ADANIGREEN,1676.95,1676.95,430.89 INR,Overvaluation 74%,171.04 INR,Overvaluation 90%
65b9fadb870537e7b5461490,2024-01-31 07:46:35.636,WIPRO,474.7,474.7,542.2 INR,Undervaluation 12%,305.65 INR,Overvaluation 36%
65b9fadf870537e7b5461491,2024-01-31 07:46:39.694,COALINDIA,407.5,407.5,238.04 INR,Overvaluation 42%,324.89 INR,Overvaluation 20%
65b9fae3870537e7b5461492,2024-01-31 07:46:43.638,ADANIPORTS,1197.85,1197.85,1234.51 INR,Undervaluation 3%,669.98 INR,Overvaluation 44%
65b9fae7870537e7b5461493,2024-01-31 07:46:47.823,POWERGRID,255.75,255.75,304.2 INR,Undervaluation 16%,217.14 INR,Overvaluation 15%
65b9faeb870537e7b5461494,2024-01-31 07:46:51.865,JSWSTEEL,811.75,811.75,1396.07 INR,Undervaluation 42%,598.14 INR,Overvaluation 26%
65b9faf0870537e7b5461495,2024-01-31 07:46:56.024,M&M,1620.35,1620.35,1583.54 INR,Overvaluation 2%,845.08 INR,Overvaluation 48%
65b9faf4870537e7b5461496,2024-01-31 07:47:00.104,ADANIPOWER,565.9,565.9,436.23 INR,Overvaluation 23%,251.73 INR,Overvaluation 56%
65b9faf9870537e7b5461497,2024-01-31 07:47:05.279,BAJAJ-AUTO,7621,7621,6182.2 INR,Overvaluation 19%,3927.67 INR,Overvaluation 48%
65b9fafd870537e7b5461498,2024-01-31 07:47:09.402,HAL,2988.2,2988.2,1275.12 INR,Overvaluation 57%,1127.19 INR,Overvaluation 62%
65b9fb01870537e7b5461499,2024-01-31 07:47:13.859,LTIM,5416.1001,5416.1001,6216.076 INR,Undervaluation 13%,2848.2145 INR,Overvaluation 47%
65b9fb06870537e7b546149a,2024-01-31 07:47:18.038,IOC,146.9,146.9,237.29 INR,Undervaluation 38%,202.02 INR,Undervaluation 27%
65b9fb0a870537e7b546149b,2024-01-31 07:47:22.033,DLF,797.55,797.55,499.56 INR,Overvaluation 37%,336.39 INR,Overvaluation 58%
65b9fb0e870537e7b546149c,2024-01-31 07:47:26.562,TATASTEEL,135.35,135.35,189.06 INR,Undervaluation 28%,140.61 INR,Undervaluation 4%
65b9fb12870537e7b546149d,2024-01-31 07:47:30.769,VBL,1263.1,1263.1,493.04 INR,Overvaluation 61%,311.76 INR,Overvaluation 75%
65b9fb16870537e7b546149e,2024-01-31 07:47:34.958,JIOFIN,248.3,248.3,2.92 INR,Overvaluation 99%,180.18 INR,Overvaluation 27%
65b9fb1a870537e7b546149f,2024-01-31 07:47:38.888,SBILIFE,1394.4,1394.4,1489.81 INR,Undervaluation 6%,328.5 INR,Overvaluation 76%
65b9fb1e870537e7b54614a0,2024-01-31 07:47:42.806,SIEMENS,4109.2998,4109.2998,2532.6895 INR,Overvaluation 38%,1012.5851 INR,Overvaluation 75%
65b9fb22870537e7b54614a1,2024-01-31 07:47:46.873,GRASIM,2141.6001,2141.6001,1093.2804 INR,Overvaluation 49%,-721.9972 INR,Overvaluation 100%
65b9fb26870537e7b54614a2,2024-01-31 07:47:50.870,HDFCLIFE,575.55,575.55,638.56 INR,Undervaluation 10%,113.34 INR,Overvaluation 80%
65b9fb2a870537e7b54614a3,2024-01-31 07:47:54.914,HINDALCO,576.3,576.3,959.31 INR,Undervaluation 40%,548.51 INR,Overvaluation 5%
65b9fb2f870537e7b54614a4,2024-01-31 07:47:59.296,PIDILITIND,2563.95,2563.95,1340.28 INR,Overvaluation 48%,530.49 INR,Overvaluation 79%
65b9fb33870537e7b54614a5,2024-01-31 07:48:03.427,BEL,185.5,185.5,142.34 INR,Overvaluation 23%,67.59 INR,Overvaluation 64%
65b9fb37870537e7b54614a6,2024-01-31 07:48:07.329,HINDZINC,317,317,272.21 INR,Overvaluation 14%,231.56 INR,Overvaluation 27%
65b9fb3b870537e7b54614a7,2024-01-31 07:48:11.527,IRFC,172.65,172.65,140.63 INR,Overvaluation 19%,41.23 INR,Overvaluation 76%
65b9fb3f870537e7b54614a8,2024-01-31 07:48:15.430,BRITANNIA,5063.2002,5063.2002,2813.898 INR,Overvaluation 44%,1448.348 INR,Overvaluation 71%
65b9fb42870537e7b54614a9,2024-01-31 07:48:18.842,PFC,437.6,437.6,1346.12 INR,Undervaluation 67%,445.04 INR,Undervaluation 2%
65b9fb46870537e7b54614aa,2024-01-31 07:48:22.422,INDUSINDBK,1535.2,1535.2,2148.02 INR,Undervaluation 29%,1998.47 INR,Undervaluation 23%
65b9fb4a870537e7b54614ab,2024-01-31 07:48:26.258,TECHM,1318.55,1318.55,1590.28 INR,Undervaluation 17%,839.31 INR,Overvaluation 36%
65b9fb4e870537e7b54614ac,2024-01-31 07:48:30.085,BANKBARODA,239.15,239.15,274.6 INR,Undervaluation 13%,419.73 INR,Undervaluation 43%
65b9fb51870537e7b54614ad,2024-01-31 07:48:33.849,ADANIENSOL,1070.05,1070.05,965.63 INR,Overvaluation 10%,119.92 INR,Overvaluation 89%
65b9fb55870537e7b54614ae,2024-01-31 07:48:37.554,GODREJCP,1162.95,1162.95,904.9 INR,Overvaluation 22%,347.1 INR,Overvaluation 70%
65b9fb7b870537e7b54614af,2024-01-31 07:49:15.383,INDIGO,2949,2949,2798.72 INR,Overvaluation 5%,1847.68 INR,Overvaluation 37%
65b9fb7f870537e7b54614b0,2024-01-31 07:49:19.922,EICHERMOT,3807.6499,3807.6499,4119.9222 INR,Undervaluation 8%,1821.4467 INR,Overvaluation 52%
65b9fb84870537e7b54614b1,2024-01-31 07:49:24.191,RECLTD,490,490,1062.96 INR,Undervaluation 54%,670.88 INR,Undervaluation 27%
65b9fb88870537e7b54614b2,2024-01-31 07:49:28.474,ATGL,N/A,1019.2,149.17 INR,Overvaluation 85%,N/A,N/A
65b9fb8c870537e7b54614b3,2024-01-31 07:49:32.927,TRENT,3040.45,3040.45,1027.13 INR,Overvaluation 66%,494.76 INR,Overvaluation 84%
65b9fb91870537e7b54614b4,2024-01-31 07:49:37.252,ZOMATO,140.3,140.3,42.62 INR,Overvaluation 70%,29.83 INR,Overvaluation 79%
65b9fb95870537e7b54614b5,2024-01-31 07:49:41.375,GAIL,171.45,171.45,225.5 INR,Undervaluation 24%,66.43 INR,Overvaluation 61%
65b9fb99870537e7b54614b6,2024-01-31 07:49:45.406,TATAPOWER,386,386,505.97 INR,Undervaluation 24%,258.25 INR,Overvaluation 33%
65b9fb9d870537e7b54614b7,2024-01-31 07:49:49.701,CHOLAFIN,1183.5,1183.5,1989.76 INR,Undervaluation 41%,464.24 INR,Overvaluation 61%
65b9fba1870537e7b54614b8,2024-01-31 07:49:53.813,PNB,112.1,112.1,78.47 INR,Overvaluation 30%,117.97 INR,Undervaluation 5%
65b9fba6870537e7b54614b9,2024-01-31 07:49:58.277,DIVISLAB,3629.45,3629.45,3643.92 INR,Fairly Valued,955.68 INR,Overvaluation 74%
65b9fbaa870537e7b54614ba,2024-01-31 07:50:02.714,AMBUJACEM,581.3,581.3,487.24 INR,Overvaluation 16%,374.63 INR,Overvaluation 36%
